Opened,Name,City,Market,County
7/26/2018,Peace Portal Drive - Blaine,Blaine,Washington\Bellingham,Whatcom
6/30/2018,Newcastle Commons,Newcastle,Washington\Seattle,King
6/29/2018,38th & G Street - Tacoma,Tacoma,Washington\Tacoma,Pierce
6/28/2018,Sleater Kinney & Royal,Lacey,Washington\Olympia,Thurston
6/26/2018,116th & Kent-Kangley Rd,Kent,Washington\Tacoma,King
6/14/2018,10705 Silverdale Way,Silverdale,Washington\KitsapCounty,Kitsap
6/8/2018,56th & Summitview,Yakima,Washington\CentralWashington,Yakima
5/1/2018,Pioneer & Kimball - Gig Harbor,Gig Harbor,Washington\Tacoma,Pierce
4/20/2018,North 40th & River Rd,Yakima,Washington\CentralWashington,Yakima
3/21/2018,156th Ave NE & NE 13th - Crossroads,Bellevue,Washington\Seattle,King
3/8/2018,Airport Plaza - Renton,Renton,Washington\Seattle,King
2/27/2018,SODO Reserve Store,Seattle,Washington\Seattle,King
1/21/2018,Main St. & Hovander Dr. - Ferndale,Ferndale,Washington\Bellingham,Whatcom
11/16/2017,Pacific Hwy S & 106th St - Tacoma,Tacoma,Washington\Tacoma,Pierce
9/15/2017,Snoqualmie Parkway,Snoqualmie,Washington\Seattle,King
8/11/2017,NE Stadium Way - Pullman,Pullman,Washington\SoutheasternWashington,Whitman
8/4/2017,White Center - 16th Ave SW & 100 St,Seattle,Washington\Seattle,King
6/30/2017,Metropolitan Park East,Seattle,Washington\Seattle,King
6/1/2017,Court St & 24th - Pasco,Pasco,Washington\SoutheasternWashington,Franklin
5/31/2017,I-5 & SR20 - Burlington,Burlington,Washington\Bellingham,Whatcom
5/26/2017,Hwy 305 & Hostmark - Poulsbo,Poulsbo,Washington\KitsapCounty,Kitsap
4/20/2017,Pacific Ave and 166th,Spanaway,Washington\Tacoma,Pierce
3/31/2017,Ruby & Sharp - Spokane,Spokane,Washington\Spokane,Spokane
2/28/2017,Pickup - 1st & University,Seattle,Washington\Seattle,King
2/24/2017,Aurora Village drive thru,Shoreline,Washington\Seattle,King
2/3/2017,Cooper Point Rd & Black Lake Blvd,Olympia,Washington\Olympia,Thurston
12/28/2016,Cedar River Station,Renton,Washington\Seattle,King
12/3/2016,Meridian & Jovita - Edgewood,Edgewood,Washington\Tacoma,Pierce
11/17/2016,S. 1st Street & E. Nob Hill Blvd,Yakima,Washington\CentralWashington,Yakima
11/2/2016,152nd St & Meridian Ave,Puyallup,Washington\Tacoma,Pierce
10/27/2016,Old Fairhaven Parkway & 30th,Bellingham,Washington\Bellingham,Whatcom
10/5/2016,Westlake and Mercer,Seattle,Washington\Seattle,King
10/3/2016,4th & 47th,Marysville,Washington\Seattle,Snohomish
10/3/2016,Martin Way & Sleater Kinney,Olympia,Washington\Olympia,Thurston
9/8/2016,Bridgeport Way & 100th - Lakewood,Lakewood,Washington\Tacoma,Pierce
8/16/2016,Bothell Everett Hwy & 220th St SE,Bothell,Washington\Seattle,Snohomish
6/16/2016,Iowa & King - Bellingham,Bellingham,Washington\Bellingham,Whatcom
5/6/2016,Martin Way & Kingham - Lacey,Lacey,Washington\Olympia,Thurston
4/21/2016,128th St SW & 4th Ave W - Everett,Everett,Washington\Seattle,Snohomish
3/24/2016,Hwy 3 & Finn Hill Rd,Poulsbo,Washington\KitsapCounty,Kitsap
3/12/2016,Berkeley & Union - Tillicum,Lakewood,Washington\Tacoma,Pierce
2/18/2016,NE 4th Street and Union Ave NE,Renton,Washington\Seattle,King
12/12/2015,7th & Westlake - Seattle,Seattle,Washington\Seattle,King
10/1/2015,Edmonds Way & 100th,Edmonds,Washington\Seattle,Snohomish
9/21/2015,148th St. SW & Highway 99,Lynnwood,Washington\Seattle,Snohomish
9/21/2015,Hwy 104 - Kingston,Kingston,Washington\KitsapCounty,Kitsap
